"Plot Title: Sensor_20"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10396215, SEN S/N: 10396215)","RH, % (LGR S/N: 10396215, SEN S/N: 10396215)","Intensity, Lux (LGR S/N: 10396215, SEN S/N: 10396215)","Host Connected (LGR S/N: 10396215)","Stopped (LGR S/N: 10396215)","End Of File (LGR S/N: 10396215)"
1,09/21/22 05:00:00 PM,27.801,53.865,43.4,,,
2,09/21/22 05:05:00 PM,26.573,55.207,43.4,,,
3,09/21/22 05:10:00 PM,25.744,56.154,35.5,,,
4,09/21/22 05:15:00 PM,25.137,56.721,35.5,,,
5,09/21/22 05:20:00 PM,24.702,57.061,35.5,,,
6,09/21/22 05:25:00 PM,24.436,58.200,35.5,,,
7,09/21/22 05:30:00 PM,25.089,57.803,492.7,,,
8,09/21/22 05:35:00 PM,24.508,57.405,492.7,,,
9,09/21/22 05:40:00 PM,24.195,59.984,413.9,,,
10,09/21/22 05:45:00 PM,24.339,59.452,390.2,,,
11,09/21/22 05:50:00 PM,23.954,58.960,366.6,,,
12,09/21/22 05:55:00 PM,23.617,58.877,342.9,,,
13,09/21/22 06:00:00 PM,23.424,61.516,311.4,,,
14,09/21/22 06:05:00 PM,23.737,61.169,295.6,,,
15,09/21/22 06:10:00 PM,23.689,60.088,272.0,,,
16,09/21/22 06:15:00 PM,23.376,59.486,256.2,,,
17,09/21/22 06:20:00 PM,23.328,61.866,232.6,,,
18,09/21/22 06:25:00 PM,23.617,61.211,216.8,,,
19,09/21/22 06:30:00 PM,23.376,60.039,193.2,,,
20,09/21/22 06:35:00 PM,23.112,59.721,177.4,,,
21,09/21/22 06:40:00 PM,22.800,59.212,153.7,,,
22,09/21/22 06:45:00 PM,22.681,61.791,138.0,,,
23,09/21/22 06:50:00 PM,23.040,61.515,114.3,,,
24,09/21/22 06:55:00 PM,23.040,60.262,98.5,,,
25,09/21/22 07:00:00 PM,22.729,59.600,74.9,,,
26,09/21/22 07:05:00 PM,22.753,62.046,59.1,,,
27,09/21/22 07:10:00 PM,23.112,61.679,43.4,,,
28,09/21/22 07:15:00 PM,23.136,60.124,19.7,,,
29,09/21/22 07:20:00 PM,22.753,59.450,11.8,,,
30,09/21/22 07:25:00 PM,22.800,62.024,11.8,,,
31,09/21/22 07:30:00 PM,23.112,61.679,11.8,,,
32,09/21/22 07:35:00 PM,23.256,60.357,11.8,,,
33,09/21/22 07:40:00 PM,22.872,60.051,11.8,,,
34,09/21/22 07:45:00 PM,22.872,62.005,11.8,,,
35,09/21/22 07:50:00 PM,23.160,61.686,11.8,,,
36,09/21/22 07:55:00 PM,23.160,60.189,11.8,,,
37,09/21/22 08:00:00 PM,22.776,62.111,11.8,,,
38,09/21/22 08:05:00 PM,22.944,62.078,11.8,,,
39,09/21/22 08:10:00 PM,23.208,61.755,11.8,,,
40,09/21/22 08:15:00 PM,23.208,60.135,11.8,,,
41,09/21/22 08:20:00 PM,22.824,62.240,11.8,,,
42,09/21/22 08:25:00 PM,23.016,62.120,11.8,,,
43,09/21/22 08:30:00 PM,23.256,61.824,11.8,,,
44,09/21/22 08:35:00 PM,23.328,60.552,11.8,,,
45,09/21/22 08:40:00 PM,22.896,62.404,11.8,,,
46,09/21/22 08:45:00 PM,23.016,62.181,11.8,,,
47,09/21/22 08:50:00 PM,23.256,61.854,11.8,,,
48,09/21/22 08:55:00 PM,23.424,61.088,11.8,,,
49,09/21/22 09:00:00 PM,22.992,60.377,11.8,,,
50,09/21/22 09:05:00 PM,22.920,62.287,11.8,,,
51,09/21/22 09:10:00 PM,23.136,62.109,11.8,,,
52,09/21/22 09:15:00 PM,23.328,61.744,11.8,,,
53,09/21/22 09:20:00 PM,23.304,60.365,11.8,,,
54,09/21/22 09:25:00 PM,22.872,62.370,11.8,,,
55,09/21/22 09:30:00 PM,23.016,62.272,11.8,,,
56,09/21/22 09:35:00 PM,23.208,61.968,11.8,,,
57,09/21/22 09:40:00 PM,23.256,60.633,11.8,,,
58,09/21/22 09:45:00 PM,22.824,62.666,11.8,,,
59,09/21/22 09:50:00 PM,22.944,62.442,11.8,,,
60,09/21/22 09:55:00 PM,23.136,62.139,11.8,,,
61,09/21/22 10:00:00 PM,23.304,61.862,11.8,,,
62,09/21/22 10:05:00 PM,23.232,60.445,11.8,,,
63,09/21/22 10:10:00 PM,22.824,62.453,11.8,,,
64,09/21/22 10:15:00 PM,22.968,62.325,11.8,,,
65,09/21/22 10:20:00 PM,23.136,62.078,11.8,,,
66,09/21/22 10:25:00 PM,23.304,61.801,11.8,,,
67,09/21/22 10:30:00 PM,23.376,60.805,11.8,,,
68,09/21/22 10:35:00 PM,22.872,62.461,11.8,,,
69,09/21/22 10:40:00 PM,22.920,62.378,11.8,,,
70,09/21/22 10:45:00 PM,23.088,62.101,11.8,,,
71,09/21/22 10:50:00 PM,23.256,61.854,11.8,,,
72,09/21/22 10:55:00 PM,23.400,61.634,11.8,,,
73,09/21/22 11:00:00 PM,23.016,59.829,11.8,,,
74,09/21/22 11:05:00 PM,22.824,62.392,11.8,,,
75,09/21/22 11:10:00 PM,22.992,62.237,11.8,,,
76,09/21/22 11:15:00 PM,23.160,61.991,11.8,,,
77,09/21/22 11:20:00 PM,23.304,61.740,11.8,,,
78,09/21/22 11:25:00 PM,22.992,59.948,11.8,,,
79,09/21/22 11:30:00 PM,22.705,62.403,11.8,,,
80,09/21/22 11:35:00 PM,22.848,62.214,11.8,,,
81,09/21/22 11:40:00 PM,23.016,62.028,11.8,,,
82,09/21/22 11:45:00 PM,23.160,61.778,11.8,,,
83,09/21/22 11:50:00 PM,23.280,61.584,11.8,,,
84,09/21/22 11:55:00 PM,23.376,61.386,11.8,,,
85,09/22/22 12:00:00 AM,23.040,59.679,11.8,,,
86,09/22/22 12:05:00 AM,22.753,62.107,11.8,,,
87,09/22/22 12:10:00 AM,22.872,62.005,11.8,,,
88,09/22/22 12:15:00 AM,23.016,61.815,11.8,,,
89,09/22/22 12:20:00 AM,23.136,61.622,11.8,,,
90,09/22/22 12:25:00 AM,23.232,61.454,11.8,,,
91,09/22/22 12:30:00 AM,23.328,61.286,11.8,,,
92,09/22/22 12:35:00 AM,23.280,59.871,11.8,,,
93,09/22/22 12:40:00 AM,22.705,62.251,11.8,,,
94,09/22/22 12:45:00 AM,22.729,62.042,11.8,,,
95,09/22/22 12:50:00 AM,22.872,61.822,11.8,,,
96,09/22/22 12:55:00 AM,22.992,61.659,11.8,,,
97,09/22/22 01:00:00 AM,23.112,61.496,11.8,,,
98,09/22/22 01:05:00 AM,23.184,61.355,11.8,,,
99,09/22/22 01:10:00 AM,23.280,61.218,11.8,,,
100,09/22/22 01:15:00 AM,23.136,59.786,11.8,,,
101,09/22/22 01:20:00 AM,22.585,61.897,11.8,,,
102,09/22/22 01:25:00 AM,22.657,61.970,11.8,,,
103,09/22/22 01:30:00 AM,22.800,61.780,11.8,,,
104,09/22/22 01:35:00 AM,22.896,61.583,11.8,,,
105,09/22/22 01:40:00 AM,23.016,61.419,11.8,,,
106,09/22/22 01:45:00 AM,23.088,61.309,11.8,,,
107,09/22/22 01:50:00 AM,23.160,61.198,11.8,,,
108,09/22/22 01:55:00 AM,23.232,61.088,11.8,,,
109,09/22/22 02:00:00 AM,23.280,61.004,11.8,,,
110,09/22/22 02:05:00 AM,23.328,60.889,11.8,,,
111,09/22/22 02:10:00 AM,23.304,59.721,11.8,,,
112,09/22/22 02:15:00 AM,22.681,61.578,11.8,,,
113,09/22/22 02:20:00 AM,22.657,61.848,11.8,,,
114,09/22/22 02:25:00 AM,22.753,61.681,11.8,,,
115,09/22/22 02:30:00 AM,22.872,61.518,11.8,,,
116,09/22/22 02:35:00 AM,22.968,61.320,11.8,,,
117,09/22/22 02:40:00 AM,23.064,61.244,11.8,,,
118,09/22/22 02:45:00 AM,23.136,61.103,11.8,,,
119,09/22/22 02:50:00 AM,23.184,61.019,11.8,,,
120,09/22/22 02:55:00 AM,23.232,60.904,11.8,,,
121,09/22/22 03:00:00 AM,23.280,60.851,11.8,,,
122,09/22/22 03:05:00 AM,23.328,60.767,11.8,,,
123,09/22/22 03:10:00 AM,22.872,59.008,11.8,,,
124,09/22/22 03:15:00 AM,22.561,61.711,11.8,,,
125,09/22/22 03:20:00 AM,22.657,61.696,11.8,,,
126,09/22/22 03:25:00 AM,22.776,61.502,11.8,,,
127,09/22/22 03:30:00 AM,22.872,61.335,11.8,,,
128,09/22/22 03:35:00 AM,22.968,61.167,11.8,,,
129,09/22/22 03:40:00 AM,23.040,61.057,11.8,,,
130,09/22/22 03:45:00 AM,23.088,60.942,11.8,,,
131,09/22/22 03:50:00 AM,23.160,60.832,11.8,,,
132,09/22/22 03:55:00 AM,23.208,60.778,11.8,,,
133,09/22/22 04:00:00 AM,23.232,60.690,11.8,,,
134,09/22/22 04:05:00 AM,22.944,59.081,11.8,,,
135,09/22/22 04:10:00 AM,22.489,61.608,11.8,,,
136,09/22/22 04:15:00 AM,22.561,61.650,11.8,,,
137,09/22/22 04:20:00 AM,22.657,61.483,11.8,,,
138,09/22/22 04:25:00 AM,22.753,61.346,11.8,,,
139,09/22/22 04:30:00 AM,22.848,61.148,11.8,,,
140,09/22/22 04:35:00 AM,22.920,61.007,11.8,,,
141,09/22/22 04:40:00 AM,22.992,60.896,11.8,,,
142,09/22/22 04:45:00 AM,23.040,60.812,11.8,,,
143,09/22/22 04:50:00 AM,23.088,60.728,11.8,,,
144,09/22/22 04:55:00 AM,23.112,60.671,11.8,,,
145,09/22/22 05:00:00 AM,23.160,60.618,11.8,,,
146,09/22/22 05:05:00 AM,23.184,60.560,11.8,,,
147,09/22/22 05:10:00 AM,23.208,60.533,11.8,,,
148,09/22/22 05:15:00 AM,23.232,60.445,11.8,,,
149,09/22/22 05:20:00 AM,23.256,60.480,11.8,,,
150,09/22/22 05:25:00 AM,23.256,60.419,11.8,,,
151,09/22/22 05:30:00 AM,23.280,60.392,11.8,,,
152,09/22/22 05:35:00 AM,23.112,58.984,11.8,,,
153,09/22/22 05:40:00 AM,22.489,61.425,11.8,,,
154,09/22/22 05:45:00 AM,22.513,61.490,11.8,,,
155,09/22/22 05:50:00 AM,22.633,61.357,11.8,,,
156,09/22/22 05:55:00 AM,22.729,61.159,11.8,,,
157,09/22/22 06:00:00 AM,22.800,61.049,11.8,,,
158,09/22/22 06:05:00 AM,22.872,60.908,11.8,,,
159,09/22/22 06:10:00 AM,22.944,60.828,11.8,,,
160,09/22/22 06:15:00 AM,22.992,60.744,11.8,,,
161,09/22/22 06:20:00 AM,23.016,60.656,11.8,,,
162,09/22/22 06:25:00 AM,23.064,60.602,11.8,,,
163,09/22/22 06:30:00 AM,23.088,60.545,11.8,,,
164,09/22/22 06:35:00 AM,23.112,60.518,11.8,,,
165,09/22/22 06:40:00 AM,23.136,60.491,11.8,,,
166,09/22/22 06:45:00 AM,23.136,60.430,11.8,,,
167,09/22/22 06:50:00 AM,23.160,60.434,11.8,,,
168,09/22/22 06:55:00 AM,23.184,60.407,11.8,,,
169,09/22/22 07:00:00 AM,23.184,60.346,11.8,,,
170,09/22/22 07:05:00 AM,23.208,60.380,11.8,,,
171,09/22/22 07:10:00 AM,23.208,60.380,11.8,,,
172,09/22/22 07:15:00 AM,23.232,60.353,11.8,,,
173,09/22/22 07:20:00 AM,22.753,58.775,19.7,,,
174,09/22/22 07:25:00 AM,22.417,61.444,27.6,,,
175,09/22/22 07:30:00 AM,22.489,61.395,51.2,,,
176,09/22/22 07:35:00 AM,22.585,61.258,67.0,,,
177,09/22/22 07:40:00 AM,22.681,61.030,90.7,,,
178,09/22/22 07:45:00 AM,22.753,60.950,114.3,,,
179,09/22/22 07:50:00 AM,22.824,60.870,138.0,,,
180,09/22/22 07:55:00 AM,22.872,60.755,161.6,,,
181,09/22/22 08:00:00 AM,22.920,60.671,185.3,,,
182,09/22/22 08:05:00 AM,22.968,60.617,208.9,,,
183,09/22/22 08:10:00 AM,22.992,60.560,232.6,,,
184,09/22/22 08:15:00 AM,23.040,60.507,248.3,,,
185,09/22/22 08:20:00 AM,23.088,60.453,264.1,,,
186,09/22/22 08:25:00 AM,23.112,60.426,287.8,,,
187,09/22/22 08:30:00 AM,23.136,60.369,311.4,,,
188,09/22/22 08:35:00 AM,23.184,60.346,342.9,,,
189,09/22/22 08:40:00 AM,23.208,60.350,358.7,,,
190,09/22/22 08:45:00 AM,23.256,60.265,382.4,,,
191,09/22/22 08:50:00 AM,23.016,59.123,413.9,,,
192,09/22/22 08:55:00 AM,22.513,61.521,429.7,,,
193,09/22/22 09:00:00 AM,22.585,61.563,445.4,,,
194,09/22/22 09:05:00 AM,22.705,61.369,484.9,,,
195,09/22/22 09:10:00 AM,22.824,61.114,508.5,,,
196,09/22/22 09:15:00 AM,22.944,60.950,532.2,,,
197,09/22/22 09:20:00 AM,23.040,60.812,571.6,,,
198,09/22/22 09:25:00 AM,23.112,60.732,587.3,,,
199,09/22/22 09:30:00 AM,22.896,59.595,634.6,,,
200,09/22/22 09:35:00 AM,22.489,61.912,650.4,,,
201,09/22/22 09:40:00 AM,22.609,61.780,689.8,,,
202,09/22/22 09:45:00 AM,22.776,61.533,713.5,,,
203,09/22/22 09:50:00 AM,22.896,61.308,745.0,,,
204,09/22/22 09:55:00 AM,23.040,61.118,776.6,,,
205,09/22/22 10:00:00 AM,23.160,60.923,808.1,,,
206,09/22/22 10:05:00 AM,22.800,59.519,831.7,,,
207,09/22/22 10:10:00 AM,22.609,62.114,871.2,,,
208,09/22/22 10:15:00 AM,22.776,61.807,886.9,,,
209,09/22/22 10:20:00 AM,22.944,61.529,918.5,,,
210,09/22/22 10:25:00 AM,23.112,61.252,934.2,,,
211,09/22/22 10:30:00 AM,23.160,60.434,957.9,,,
212,09/22/22 10:35:00 AM,22.705,62.524,965.8,,,
213,09/22/22 10:40:00 AM,22.800,62.236,989.4,,,
214,09/22/22 10:45:00 AM,22.992,61.903,997.3,,,
215,09/22/22 10:50:00 AM,23.160,61.503,1013.1,,,
216,09/22/22 10:55:00 AM,23.016,60.350,1028.8,,,
217,09/22/22 11:00:00 AM,22.753,62.563,1044.6,,,
218,09/22/22 11:05:00 AM,22.944,62.260,1060.4,,,
219,09/22/22 11:10:00 AM,23.136,61.835,1084.0,,,
220,09/22/22 11:15:00 AM,23.328,61.225,1084.0,,,
221,09/22/22 11:20:00 AM,22.920,60.610,1107.7,,,
222,09/22/22 11:25:00 AM,22.872,62.461,1123.4,,,
223,09/22/22 11:30:00 AM,23.088,62.162,1139.2,,,
224,09/22/22 11:35:00 AM,23.304,61.801,1155.0,,,
225,09/22/22 11:40:00 AM,23.521,61.562,1162.9,,,
226,09/22/22 11:45:00 AM,23.689,61.344,1162.9,,,
227,09/22/22 11:50:00 AM,23.857,61.157,1170.7,,,
228,09/22/22 11:55:00 AM,24.026,61.001,1170.7,,,
229,09/22/22 12:00:00 PM,24.171,60.840,1178.6,,,
230,09/22/22 12:05:00 PM,24.315,60.709,1170.7,,,
231,09/22/22 12:10:00 PM,24.460,60.610,1162.9,,,
232,09/22/22 12:15:00 PM,24.581,60.537,1162.9,,,
233,09/22/22 12:20:00 PM,24.702,60.464,1155.0,,,
234,09/22/22 12:25:00 PM,24.823,60.329,1155.0,,,
235,09/22/22 12:30:00 PM,24.944,60.317,1147.1,,,
236,09/22/22 12:35:00 PM,25.065,60.305,1131.3,,,
237,09/22/22 12:40:00 PM,25.186,60.263,1107.7,,,
238,09/22/22 12:45:00 PM,25.283,60.216,1131.3,,,
239,09/22/22 12:50:00 PM,25.404,60.236,1123.4,,,
240,09/22/22 12:55:00 PM,25.501,60.189,1084.0,,,
241,09/22/22 01:00:00 PM,25.598,60.174,1084.0,,,
242,09/22/22 01:05:00 PM,25.720,60.162,1084.0,,,
243,09/22/22 01:10:00 PM,25.817,60.115,1068.2,,,
244,09/22/22 01:15:00 PM,25.939,60.103,1123.4,,,
245,09/22/22 01:20:00 PM,26.036,60.119,1186.5,,,
246,09/22/22 01:25:00 PM,26.134,60.072,1076.1,,,
247,09/22/22 01:30:00 PM,26.256,60.060,1091.9,,,
248,09/22/22 01:35:00 PM,26.329,60.010,1099.8,,,
249,09/22/22 01:40:00 PM,26.451,59.905,1123.4,,,
250,09/22/22 01:45:00 PM,26.134,58.894,1210.2,,,
251,09/22/22 01:50:00 PM,26.012,60.733,1013.1,,,
252,09/22/22 01:55:00 PM,26.158,60.478,618.9,,,
253,09/22/22 02:00:00 PM,26.280,60.466,1155.0,,,
254,09/22/22 02:05:00 PM,26.451,60.400,1312.6,,,
255,09/22/22 02:10:00 PM,26.256,58.758,1091.9,,,
256,09/22/22 02:15:00 PM,25.963,60.972,1178.6,,,
257,09/22/22 02:20:00 PM,26.158,60.756,1147.1,,,
258,09/22/22 02:25:00 PM,26.329,60.659,1091.9,,,
259,09/22/22 02:30:00 PM,26.500,60.532,1020.9,,,
260,09/22/22 02:35:00 PM,26.378,58.994,1013.1,,,
261,09/22/22 02:40:00 PM,26.012,61.041,1020.9,,,
262,09/22/22 02:45:00 PM,26.158,60.879,1005.2,,,
263,09/22/22 02:50:00 PM,26.378,60.760,997.3,,,
264,09/22/22 02:55:00 PM,26.573,60.667,989.4,,,
265,09/22/22 03:00:00 PM,26.451,59.067,965.8,,,
266,09/22/22 03:05:00 PM,25.963,60.478,547.9,,,
267,09/22/22 03:10:00 PM,26.012,60.887,563.7,,,
268,09/22/22 03:15:00 PM,26.231,60.706,1028.8,,,
269,09/22/22 03:20:00 PM,26.451,60.648,989.4,,,
270,09/22/22 03:25:00 PM,26.231,58.971,942.1,,,
271,09/22/22 03:30:00 PM,25.841,61.076,918.5,,,
272,09/22/22 03:35:00 PM,26.012,60.949,902.7,,,
273,09/22/22 03:40:00 PM,26.280,60.775,886.9,,,
274,09/22/22 03:45:00 PM,26.475,59.940,886.9,,,
275,09/22/22 03:50:00 PM,26.085,58.731,871.2,,,
276,09/22/22 03:55:00 PM,25.866,61.018,871.2,,,
277,09/22/22 04:00:00 PM,26.085,60.868,863.3,,,
278,09/22/22 04:05:00 PM,26.329,60.659,847.5,,,
279,09/22/22 04:10:00 PM,26.402,59.401,886.9,,,
280,09/22/22 04:15:00 PM,25.939,58.554,871.2,,,
281,09/22/22 04:20:00 PM,25.890,61.022,831.7,,,
282,09/22/22 04:25:00 PM,26.134,60.721,808.1,,,
283,09/22/22 04:30:00 PM,26.378,59.863,784.4,,,
284,09/22/22 04:35:00 PM,26.036,59.003,752.9,,,
285,09/22/22 04:40:00 PM,25.720,60.995,737.1,,,
286,09/22/22 04:45:00 PM,25.963,60.879,737.1,,,
287,09/22/22 04:50:00 PM,26.231,60.428,737.1,,,
288,09/22/22 04:55:00 PM,26.012,59.062,752.9,,,
289,09/22/22 05:00:00 PM,25.574,60.139,800.2,,,
290,09/22/22 05:05:00 PM,25.695,61.022,768.7,,,
291,09/22/22 05:10:00 PM,25.987,60.729,768.7,,,
292,09/22/22 05:15:00 PM,26.158,59.580,681.9,,,
293,09/22/22 05:20:00 PM,25.744,58.958,611.0,,,
294,09/22/22 05:25:00 PM,25.623,61.133,547.9,,,
295,09/22/22 05:30:00 PM,25.890,60.898,540.0,,,
296,09/22/22 05:35:00 PM,26.085,59.879,516.4,,,
297,09/22/22 05:40:00 PM,25.695,58.827,453.3,,,
298,09/22/22 05:45:00 PM,25.234,58.477,406.0,,,
299,09/22/22 05:50:00 PM,24.847,58.325,366.6,,,
300,09/22/22 05:55:00 PM,24.484,58.083,350.8,,,
301,09/22/22 06:00:00 PM,24.146,57.970,256.2,,,
302,09/22/22 06:05:00 PM,23.857,57.926,295.6,,,
303,09/22/22 06:10:00 PM,23.593,57.824,272.0,,,
304,09/22/22 06:15:00 PM,23.352,57.942,240.5,,,
305,09/22/22 06:20:00 PM,23.136,57.909,185.3,,,
306,09/22/22 06:25:00 PM,22.896,57.842,161.6,,,
307,09/22/22 06:30:00 PM,22.681,59.715,145.8,,,
308,09/22/22 06:35:00 PM,22.992,60.377,161.6,,,
309,09/22/22 06:40:00 PM,23.256,59.498,145.8,,,
310,09/22/22 06:45:00 PM,23.016,58.600,122.2,,,
311,09/22/22 06:50:00 PM,22.920,61.068,106.4,,,
312,09/22/22 06:55:00 PM,23.280,60.728,82.8,,,
313,09/22/22 07:00:00 PM,23.376,59.517,67.0,,,
314,09/22/22 07:05:00 PM,23.040,58.850,43.4,,,
315,09/22/22 07:10:00 PM,23.088,61.217,27.6,,,
316,09/22/22 07:15:00 PM,23.400,60.839,11.8,,,
317,09/22/22 07:20:00 PM,23.376,59.456,11.8,,,
318,09/22/22 07:25:00 PM,23.016,60.044,11.8,,,
319,09/22/22 07:30:00 PM,23.112,61.252,11.8,,,
320,09/22/22 07:35:00 PM,23.424,60.904,11.8,,,
321,09/22/22 07:40:00 PM,23.448,59.528,11.8,,,
322,09/22/22 07:45:00 PM,23.040,60.354,11.8,,,
323,09/22/22 07:50:00 PM,23.136,61.347,11.8,,,
324,09/22/22 07:55:00 PM,23.424,60.904,11.8,,,
325,09/22/22 08:00:00 PM,23.280,59.225,11.8,,,
326,09/22/22 08:05:00 PM,22.944,61.529,11.8,,,
327,09/22/22 08:10:00 PM,23.160,61.351,11.8,,,
328,09/22/22 08:15:00 PM,23.424,60.966,11.8,,,
329,09/22/22 08:20:00 PM,23.448,59.774,11.8,,,
330,09/22/22 08:25:00 PM,23.064,61.427,11.8,,,
331,09/22/22 08:30:00 PM,23.232,61.393,11.8,,,
332,09/22/22 08:35:00 PM,23.472,61.004,11.8,,,
333,09/22/22 08:40:00 PM,23.472,59.686,11.8,,,
334,09/22/22 08:45:00 PM,23.064,61.488,11.8,,,
335,09/22/22 08:50:00 PM,23.208,61.420,11.8,,,
336,09/22/22 08:55:00 PM,23.448,61.122,11.8,,,
337,09/22/22 09:00:00 PM,23.593,60.135,11.8,,,
338,09/22/22 09:05:00 PM,23.136,60.981,11.8,,,
339,09/22/22 09:10:00 PM,23.184,61.507,11.8,,,
340,09/22/22 09:15:00 PM,23.376,61.233,11.8,,,
341,09/22/22 09:20:00 PM,23.521,60.277,11.8,,,
342,09/22/22 09:25:00 PM,23.040,60.721,11.8,,,
