"Plot Title: Sensor_19"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10392529, SEN S/N: 10392529)","RH, % (LGR S/N: 10392529, SEN S/N: 10392529)","Intensity, Lux (LGR S/N: 10392529, SEN S/N: 10392529)","Host Connected (LGR S/N: 10392529)","Stopped (LGR S/N: 10392529)","End Of File (LGR S/N: 10392529)"
1,09/21/22 05:00:00 PM,82.308,52.071,27.6,,,
2,09/21/22 05:05:00 PM,80.008,53.548,27.6,,,
3,09/21/22 05:10:00 PM,78.514,54.536,19.7,,,
4,09/21/22 05:15:00 PM,77.464,55.206,19.7,,,
5,09/21/22 05:20:00 PM,76.681,55.644,19.7,,,
6,09/21/22 05:25:00 PM,76.768,56.494,82.8,,,
7,09/21/22 05:30:00 PM,76.289,55.768,43.4,,,
8,09/21/22 05:35:00 PM,77.815,56.017,390.2,,,
9,09/21/22 05:40:00 PM,77.335,57.507,335.1,,,
10,09/21/22 05:45:00 PM,77.553,57.680,311.4,,,
11,09/21/22 05:50:00 PM,77.421,56.860,295.6,,,
12,09/21/22 05:55:00 PM,77.203,56.530,272.0,,,
13,09/21/22 06:00:00 PM,76.986,57.229,248.3,,,
14,09/21/22 06:05:00 PM,77.160,58.981,232.6,,,
15,09/21/22 06:10:00 PM,77.160,57.616,208.9,,,
16,09/21/22 06:15:00 PM,76.899,56.754,193.2,,,
17,09/21/22 06:20:00 PM,76.681,58.445,169.5,,,
18,09/21/22 06:25:00 PM,76.942,58.250,153.7,,,
19,09/21/22 06:30:00 PM,76.725,57.518,138.0,,,
20,09/21/22 06:35:00 PM,76.375,56.368,122.2,,,
21,09/21/22 06:40:00 PM,75.985,56.305,106.4,,,
22,09/21/22 06:45:00 PM,75.767,57.531,90.7,,,
23,09/21/22 06:50:00 PM,75.985,58.850,74.9,,,
24,09/21/22 06:55:00 PM,75.985,57.704,59.1,,,
25,09/21/22 07:00:00 PM,75.681,56.654,43.4,,,
26,09/21/22 07:05:00 PM,75.508,58.654,35.5,,,
27,09/21/22 07:10:00 PM,75.767,59.325,19.7,,,
28,09/21/22 07:15:00 PM,75.810,58.061,11.8,,,
29,09/21/22 07:20:00 PM,75.420,57.036,11.8,,,
30,09/21/22 07:25:00 PM,75.333,58.948,11.8,,,
31,09/21/22 07:30:00 PM,75.551,59.460,11.8,,,
32,09/21/22 07:35:00 PM,75.724,58.456,11.8,,,
33,09/21/22 07:40:00 PM,75.333,57.184,11.8,,,
34,09/21/22 07:45:00 PM,75.247,59.249,11.8,,,
35,09/21/22 07:50:00 PM,75.420,59.603,11.8,,,
36,09/21/22 07:55:00 PM,75.508,58.407,11.8,,,
37,09/21/22 08:00:00 PM,75.117,58.157,11.8,,,
38,09/21/22 08:05:00 PM,75.117,59.423,11.8,,,
39,09/21/22 08:10:00 PM,75.290,59.684,11.8,,,
40,09/21/22 08:15:00 PM,75.333,58.578,11.8,,,
41,09/21/22 08:20:00 PM,74.943,58.760,11.8,,,
42,09/21/22 08:25:00 PM,74.986,59.596,11.8,,,
43,09/21/22 08:30:00 PM,75.160,59.796,11.8,,,
44,09/21/22 08:35:00 PM,75.247,58.941,11.8,,,
45,09/21/22 08:40:00 PM,74.856,58.660,11.8,,,
46,09/21/22 08:45:00 PM,74.856,59.708,11.8,,,
47,09/21/22 08:50:00 PM,74.986,59.750,11.8,,,
48,09/21/22 08:55:00 PM,75.160,59.488,11.8,,,
49,09/21/22 09:00:00 PM,74.813,58.070,11.8,,,
50,09/21/22 09:05:00 PM,74.640,59.597,11.8,,,
51,09/21/22 09:10:00 PM,74.770,59.670,11.8,,,
52,09/21/22 09:15:00 PM,74.899,59.773,11.8,,,
53,09/21/22 09:20:00 PM,74.899,58.726,11.8,,,
54,09/21/22 09:25:00 PM,74.511,59.155,11.8,,,
55,09/21/22 09:30:00 PM,74.511,59.647,11.8,,,
56,09/21/22 09:35:00 PM,74.640,59.812,11.8,,,
57,09/21/22 09:40:00 PM,74.727,59.235,11.8,,,
58,09/21/22 09:45:00 PM,74.381,59.297,11.8,,,
59,09/21/22 09:50:00 PM,74.381,59.759,11.8,,,
60,09/21/22 09:55:00 PM,74.467,59.766,11.8,,,
61,09/21/22 10:00:00 PM,74.597,59.808,11.8,,,
62,09/21/22 10:05:00 PM,74.597,59.101,11.8,,,
63,09/21/22 10:10:00 PM,74.206,59.590,11.8,,,
64,09/21/22 10:15:00 PM,74.250,59.809,11.8,,,
65,09/21/22 10:20:00 PM,74.381,59.820,11.8,,,
66,09/21/22 10:25:00 PM,74.467,59.797,11.8,,,
67,09/21/22 10:30:00 PM,74.554,59.528,11.8,,,
68,09/21/22 10:35:00 PM,74.250,59.071,11.8,,,
69,09/21/22 10:40:00 PM,74.163,59.770,11.8,,,
70,09/21/22 10:45:00 PM,74.295,59.843,11.8,,,
71,09/21/22 10:50:00 PM,74.424,59.824,11.8,,,
72,09/21/22 10:55:00 PM,74.511,59.801,11.8,,,
73,09/21/22 11:00:00 PM,74.381,58.558,11.8,,,
74,09/21/22 11:05:00 PM,74.077,59.701,11.8,,,
75,09/21/22 11:10:00 PM,74.163,59.801,11.8,,,
76,09/21/22 11:15:00 PM,74.295,59.782,11.8,,,
77,09/21/22 11:20:00 PM,74.381,59.789,11.8,,,
78,09/21/22 11:25:00 PM,74.206,58.697,11.8,,,
79,09/21/22 11:30:00 PM,73.818,59.710,11.8,,,
80,09/21/22 11:35:00 PM,73.904,59.686,11.8,,,
81,09/21/22 11:40:00 PM,73.990,59.694,11.8,,,
82,09/21/22 11:45:00 PM,74.120,59.674,11.8,,,
83,09/21/22 11:50:00 PM,74.206,59.651,11.8,,,
84,09/21/22 11:55:00 PM,74.295,59.628,11.8,,,
85,09/22/22 12:00:00 AM,74.120,58.382,11.8,,,
86,09/22/22 12:05:00 AM,73.731,59.548,11.8,,,
87,09/22/22 12:10:00 AM,73.774,59.552,11.8,,,
88,09/22/22 12:15:00 AM,73.861,59.498,11.8,,,
89,09/22/22 12:20:00 AM,73.947,59.537,11.8,,,
90,09/22/22 12:25:00 AM,74.034,59.452,11.8,,,
91,09/22/22 12:30:00 AM,74.077,59.486,11.8,,,
92,09/22/22 12:35:00 AM,74.120,59.152,11.8,,,
93,09/22/22 12:40:00 AM,73.731,58.934,11.8,,,
94,09/22/22 12:45:00 AM,73.602,59.322,11.8,,,
95,09/22/22 12:50:00 AM,73.645,59.295,11.8,,,
96,09/22/22 12:55:00 AM,73.731,59.272,11.8,,,
97,09/22/22 01:00:00 AM,73.818,59.218,11.8,,,
98,09/22/22 01:05:00 AM,73.861,59.375,11.8,,,
99,09/22/22 01:10:00 AM,73.947,59.260,11.8,,,
100,09/22/22 01:15:00 AM,73.861,58.791,11.8,,,
101,09/22/22 01:20:00 AM,73.429,59.184,11.8,,,
102,09/22/22 01:25:00 AM,73.386,59.211,11.8,,,
103,09/22/22 01:30:00 AM,73.429,59.184,11.8,,,
104,09/22/22 01:35:00 AM,73.515,59.223,11.8,,,
105,09/22/22 01:40:00 AM,73.558,59.103,11.8,,,
106,09/22/22 01:45:00 AM,73.645,59.080,11.8,,,
107,09/22/22 01:50:00 AM,73.688,59.084,11.8,,,
108,09/22/22 01:55:00 AM,73.731,59.180,11.8,,,
109,09/22/22 02:00:00 AM,73.774,59.060,11.8,,,
110,09/22/22 02:05:00 AM,73.861,59.099,11.8,,,
111,09/22/22 02:10:00 AM,73.861,59.068,11.8,,,
112,09/22/22 02:15:00 AM,73.472,58.604,11.8,,,
113,09/22/22 02:20:00 AM,73.299,59.204,11.8,,,
114,09/22/22 02:25:00 AM,73.342,59.238,11.8,,,
115,09/22/22 02:30:00 AM,73.429,59.246,11.8,,,
116,09/22/22 02:35:00 AM,73.515,59.130,11.8,,,
117,09/22/22 02:40:00 AM,73.558,59.103,11.8,,,
118,09/22/22 02:45:00 AM,73.602,59.015,11.8,,,
119,09/22/22 02:50:00 AM,73.688,59.053,11.8,,,
120,09/22/22 02:55:00 AM,73.731,59.087,11.8,,,
121,09/22/22 03:00:00 AM,73.774,59.091,11.8,,,
122,09/22/22 03:05:00 AM,73.818,59.033,11.8,,,
123,09/22/22 03:10:00 AM,73.558,58.118,11.8,,,
124,09/22/22 03:15:00 AM,73.213,59.289,11.8,,,
