Plot Title: Sensor_23,,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 10396210, SEN S/N: 10396210)","RH, % (LGR S/N: 10396210, SEN S/N: 10396210)","Intensity, Lux (LGR S/N: 10396210, SEN S/N: 10396210)",Host Connected (LGR S/N: 10396210),Stopped (LGR S/N: 10396210),End Of File (LGR S/N: 10396210)
1,9/26/2022 17:00,78.996,56.552,768.7,,,
2,9/26/2022 17:05,79.216,56.476,745,,,
3,9/26/2022 17:10,79.216,55.692,721.4,,,
4,9/26/2022 17:15,78.382,56.283,697.7,,,
5,9/26/2022 17:20,78.427,56.724,674.1,,,
6,9/26/2022 17:25,78.69,56.589,650.4,,,
7,9/26/2022 17:30,78.91,56.545,618.9,,,
8,9/26/2022 17:35,78.996,55.737,595.2,,,
9,9/26/2022 17:40,78.076,55.318,563.7,,,
10,9/26/2022 17:45,77.16,55.088,540,,,
11,9/26/2022 17:50,76.332,54.457,508.5,,,
12,9/26/2022 17:55,75.637,54.057,477,,,
13,9/26/2022 18:00,74.899,54.093,437.5,,,
14,9/26/2022 18:05,74.25,53.76,413.9,,,
15,9/26/2022 18:10,73.774,56.03,382.4,,,
16,9/26/2022 18:15,74.295,56.135,350.8,,,
17,9/26/2022 18:20,74.554,55.316,327.2,,,
18,9/26/2022 18:25,73.774,54.754,295.6,,,
19,9/26/2022 18:30,73.731,56.71,264.1,,,
20,9/26/2022 18:35,74.25,56.567,240.5,,,
21,9/26/2022 18:40,74.206,55.786,208.9,,,
22,9/26/2022 18:45,73.429,56.902,177.4,,,
23,9/26/2022 18:50,73.688,57.109,138,,,
24,9/26/2022 18:55,74.163,56.932,106.4,,,
25,9/26/2022 19:00,74.12,55.561,74.9,,,
26,9/26/2022 19:05,73.386,57.269,51.2,,,
27,9/26/2022 19:10,73.731,57.329,27.6,,,
28,9/26/2022 19:15,74.12,57.145,19.7,,,
29,9/26/2022 19:20,74.338,56.512,11.8,,,
30,9/26/2022 19:25,73.515,57.249,11.8,,,
31,9/26/2022 19:30,73.688,57.573,19.7,,,
32,9/26/2022 19:35,74.034,57.355,11.8,,,
33,9/26/2022 19:40,74.295,56.663,19.7,,,
34,9/26/2022 19:45,73.515,57.249,11.8,,,
35,9/26/2022 19:50,73.602,57.751,11.8,,,
36,9/26/2022 19:55,73.904,57.529,11.8,,,
37,9/26/2022 20:00,74.163,57.365,19.7,,,
38,9/26/2022 20:05,74.25,56.629,11.8,,,
39,9/26/2022 20:10,73.429,57.675,11.8,,,
40,9/26/2022 20:15,73.602,57.782,11.8,,,
41,9/26/2022 20:20,73.861,57.587,11.8,,,
42,9/26/2022 20:25,74.12,57.424,11.8,,,
43,9/26/2022 20:30,73.645,55.989,11.8,,,
44,9/26/2022 20:35,73.256,58,11.8,,,
45,9/26/2022 20:40,73.515,57.867,11.8,,,
46,9/26/2022 20:45,73.774,57.642,11.8,,,
47,9/26/2022 20:50,73.947,57.471,11.8,,,
48,9/26/2022 20:55,74.12,57.362,11.8,,,
49,9/26/2022 21:00,73.731,55.84,11.8,,,
