Plot Title: Sensor_09,,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 10392516, SEN S/N: 10392516)","RH, % (LGR S/N: 10392516, SEN S/N: 10392516)","Intensity, Lux (LGR S/N: 10392516, SEN S/N: 10392516)",Host Connected (LGR S/N: 10392516),Stopped (LGR S/N: 10392516),End Of File (LGR S/N: 10392516)
1,10/19/2022 11:27,75.074,40.956,114.3,,,
2,10/19/2022 11:32,69.985,20.961,10481.5,,,
3,10/19/2022 11:37,63.732,24.469,10481.5,,,
4,10/19/2022 11:42,61.333,26.817,10497.2,,,
5,10/19/2022 11:47,60.517,23.873,10513,,,
6,10/19/2022 11:52,60.089,24.928,10552.4,,,
7,10/19/2022 11:57,60.089,25.931,10568.2,,,
8,10/19/2022 12:02,60.303,25.071,10576.1,,,
9,10/19/2022 12:07,60.303,25.405,10599.7,,,
10,10/19/2022 12:12,60.346,24.336,10615.5,,,
11,10/19/2022 12:17,60.561,23.37,10607.6,,,
12,10/19/2022 12:22,60.818,23.716,10615.5,,,
13,10/19/2022 12:27,60.861,25.896,10631.3,,,
14,10/19/2022 12:32,61.205,23.798,10639.1,,,
15,10/19/2022 12:37,61.29,24.373,10647,,,
16,10/19/2022 12:42,61.506,24.381,10647,,,
17,10/19/2022 12:47,61.761,24.66,10662.8,,,
18,10/19/2022 12:52,61.761,24.526,10686.4,,,
19,10/19/2022 12:57,61.891,24.867,10686.4,,,
20,10/19/2022 13:02,62.276,25.72,10694.3,,,
21,10/19/2022 13:07,62.533,25.094,10718,,,
22,10/19/2022 13:12,62.791,24.903,10710.1,,,
23,10/19/2022 13:17,62.791,23.893,10710.1,,,
24,10/19/2022 13:22,63.005,25.113,10725.9,,,
25,10/19/2022 13:27,63.219,24.112,10718,,,
26,10/19/2022 13:32,63.518,25.738,10749.5,,,
27,10/19/2022 13:37,63.775,25.345,10733.7,,,
28,10/19/2022 13:42,63.99,24.075,10749.5,,,
29,10/19/2022 13:47,63.946,23.972,10749.5,,,
30,10/19/2022 13:52,64.117,24.552,10749.5,,,
31,10/19/2022 13:57,64.247,23.545,10757.4,,,
32,10/19/2022 14:02,64.674,24.776,10757.4,,,
33,10/19/2022 14:07,64.803,24.983,10757.4,,,
34,10/19/2022 14:12,64.888,24.852,10749.5,,,
35,10/19/2022 14:17,65.017,25.093,10749.5,,,
36,10/19/2022 14:22,65.273,24.26,10741.6,,,
37,10/19/2022 14:27,65.273,24.125,10733.7,,,
38,10/19/2022 14:32,65.403,24.299,10733.7,,,
39,10/19/2022 14:37,65.316,25.845,10725.9,,,
40,10/19/2022 14:42,65.53,23.932,10710.1,,,
41,10/19/2022 14:47,65.745,24.548,10710.1,,,
42,10/19/2022 14:52,65.788,24.618,10710.1,,,
43,10/19/2022 14:57,65.916,24.623,10678.6,,,
44,10/19/2022 15:02,66.043,25.033,10678.6,,,
45,10/19/2022 15:07,66.214,24.972,10678.6,,,
46,10/19/2022 15:12,66.385,25.519,10654.9,,,
47,10/19/2022 15:17,66.772,26.343,10654.9,,,
48,10/19/2022 15:22,66.985,26.285,10631.3,,,
49,10/19/2022 15:27,66.985,24.834,10639.1,,,
50,10/19/2022 15:32,67.199,25.282,10591.8,,,
51,10/19/2022 15:37,66.985,24.8,10560.3,,,
52,10/19/2022 15:42,66.943,25.744,10536.6,,,
53,10/19/2022 15:47,67.158,26.494,10505.1,,,
54,10/19/2022 15:52,67.5,26.306,10473.6,,,
55,10/19/2022 15:57,67.543,26.779,10426.3,,,
56,10/19/2022 16:02,67.586,24.756,10363.2,,,
57,10/19/2022 16:07,67.456,25.427,10300.1,,,
58,10/19/2022 16:12,67.586,25.635,10244.9,,,
59,10/19/2022 16:17,67.5,25.463,10166.1,,,
60,10/19/2022 16:22,67.586,25.703,10087.3,,,
61,10/19/2022 16:27,67.586,27.184,10016.3,,,
62,10/19/2022 16:32,67.885,26.928,9921.7,,,
63,10/19/2022 16:37,67.885,26.995,9811.3,,,
64,10/19/2022 16:42,67.798,27.328,9685.2,,,
65,10/19/2022 16:47,67.798,27.194,9543.3,,,
66,10/19/2022 16:52,67.757,27.528,9417.2,,,
67,10/19/2022 16:57,67.671,27.725,9259.5,,,
68,10/19/2022 17:02,67.543,27.72,9093.9,,,
69,10/19/2022 17:07,67.5,27.785,8912.6,,,
70,10/19/2022 17:12,67.329,27.778,8691.8,,,
71,10/19/2022 17:17,67.158,27.971,8447.4,,,
72,10/19/2022 17:22,67.071,27.565,8203.1,,,
73,10/19/2022 17:27,66.943,27.794,7935,,,
74,10/19/2022 17:32,66.772,27.418,7635.4,,,
75,10/19/2022 17:37,66.385,27.871,7312.2,,,
76,10/19/2022 17:42,66.344,28.304,6965.3,,,
77,10/19/2022 17:47,66.087,27.523,6602.6,,,
