"Plot Title: Sensor_17"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10392512, SEN S/N: 10392512)","RH, % (LGR S/N: 10392512, SEN S/N: 10392512)","Intensity, Lux (LGR S/N: 10392512, SEN S/N: 10392512)","Host Connected (LGR S/N: 10392512)","Stopped (LGR S/N: 10392512)","End Of File (LGR S/N: 10392512)"
1,10/19/22 11:07:42 AM,72.264,40.265,1028.8,,,
2,10/19/22 11:12:42 AM,74.597,38.373,839.6,,,
3,10/19/22 11:17:42 AM,73.947,37.809,950.0,,,
4,10/19/22 11:22:42 AM,73.429,38.503,1005.2,,,
5,10/19/22 11:27:42 AM,73.083,38.745,1194.4,,,
6,10/19/22 11:32:42 AM,72.739,39.216,1210.2,,,
7,10/19/22 11:37:42 AM,72.480,39.528,1233.8,,,
8,10/19/22 11:42:42 AM,72.307,39.811,1249.6,,,
9,10/19/22 11:47:42 AM,72.136,40.062,1273.2,,,
10,10/19/22 11:52:42 AM,72.007,40.249,1296.9,,,
11,10/19/22 11:57:42 AM,71.920,40.374,1312.6,,,
12,10/19/22 12:02:42 PM,71.877,40.535,1328.4,,,
13,10/19/22 12:07:42 PM,71.834,40.630,1352.1,,,
14,10/19/22 12:12:42 PM,71.834,40.727,1375.7,,,
15,10/19/22 12:17:42 PM,71.877,40.795,1391.5,,,
16,10/19/22 12:22:42 PM,71.877,40.892,1415.1,,,
17,10/19/22 12:27:42 PM,71.920,40.960,1438.8,,,
18,10/19/22 12:32:42 PM,72.007,40.998,1454.6,,,
19,10/19/22 12:37:42 PM,72.050,41.000,1462.4,,,
20,10/19/22 12:42:42 PM,72.136,41.038,1478.2,,,
21,10/19/22 12:47:42 PM,72.221,41.043,1486.1,,,
22,10/19/22 12:52:42 PM,72.307,41.048,1494.0,,,
23,10/19/22 12:57:42 PM,72.394,41.021,1501.9,,,
24,10/19/22 01:02:42 PM,72.480,41.027,1509.7,,,
25,10/19/22 01:07:42 PM,72.567,40.999,1517.6,,,
26,10/19/22 01:12:42 PM,72.653,41.005,1525.5,,,
27,10/19/22 01:17:42 PM,72.783,40.947,1525.5,,,
28,10/19/22 01:22:42 PM,72.826,40.950,1517.6,,,
29,10/19/22 01:27:42 PM,72.912,40.923,1509.7,,,
30,10/19/22 01:32:42 PM,73.040,40.898,1501.9,,,
31,10/19/22 01:37:42 PM,73.126,40.903,1494.0,,,
32,10/19/22 01:42:42 PM,73.170,40.873,1494.0,,,
33,10/19/22 01:47:42 PM,73.256,40.846,1486.1,,,
34,10/19/22 01:52:42 PM,73.342,40.851,1478.2,,,
35,10/19/22 01:57:42 PM,73.429,40.824,1462.4,,,
36,10/19/22 02:02:42 PM,73.515,40.829,1454.6,,,
37,10/19/22 02:07:42 PM,73.558,40.864,1430.9,,,
38,10/19/22 02:12:42 PM,73.645,40.837,1415.1,,,
39,10/19/22 02:17:42 PM,73.688,40.937,1399.4,,,
40,10/19/22 02:22:42 PM,73.731,40.940,1375.7,,,
41,10/19/22 02:27:42 PM,73.818,40.880,1359.9,,,
42,10/19/22 02:32:42 PM,73.861,40.948,1336.3,,,
43,10/19/22 02:37:42 PM,73.904,40.885,1320.5,,,
44,10/19/22 02:42:42 PM,73.947,40.888,1296.9,,,
