"Plot Title: Sensor_19"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10392529, SEN S/N: 10392529)","RH, % (LGR S/N: 10392529, SEN S/N: 10392529)","Intensity, Lux (LGR S/N: 10392529, SEN S/N: 10392529)","Host Connected (LGR S/N: 10392529)","Stopped (LGR S/N: 10392529)","End Of File (LGR S/N: 10392529)"
1,10/19/22 11:16:43 AM,74.381,41.110,1020.9,,,
2,10/19/22 11:21:43 AM,75.942,39.896,1162.9,,,
3,10/19/22 11:26:43 AM,74.163,40.216,1391.5,,,
4,10/19/22 11:31:43 AM,73.126,40.675,1407.3,,,
5,10/19/22 11:36:43 AM,72.437,41.121,1423.0,,,
6,10/19/22 11:41:43 AM,71.964,41.547,1446.7,,,
7,10/19/22 11:46:43 AM,71.620,41.817,1462.4,,,
8,10/19/22 11:51:43 AM,71.404,42.095,1486.1,,,
9,10/19/22 11:56:43 AM,71.231,42.311,1501.9,,,
10,10/19/22 12:01:43 PM,71.103,42.464,1525.5,,,
11,10/19/22 12:06:43 PM,71.017,42.620,1549.2,,,
12,10/19/22 12:11:43 PM,70.974,42.714,1572.8,,,
13,10/19/22 12:16:43 PM,70.930,42.808,1604.3,,,
14,10/19/22 12:21:43 PM,70.930,42.905,1635.9,,,
15,10/19/22 12:26:43 PM,70.930,42.970,1675.3,,,
16,10/19/22 12:31:43 PM,70.930,43.034,1730.5,,,
17,10/19/22 12:36:43 PM,70.930,43.066,1793.6,,,
18,10/19/22 12:41:43 PM,70.974,43.101,1872.4,,,
19,10/19/22 12:46:43 PM,71.017,43.136,1967.0,,,
20,10/19/22 12:51:43 PM,71.060,43.139,2093.1,,,
21,10/19/22 12:56:43 PM,71.103,43.174,2187.7,,,
22,10/19/22 01:01:43 PM,71.190,43.180,2266.6,,,
23,10/19/22 01:06:43 PM,71.231,43.182,2329.7,,,
24,10/19/22 01:11:43 PM,71.317,43.188,2361.2,,,
25,10/19/22 01:16:43 PM,71.361,43.191,2377.0,,,
26,10/19/22 01:21:43 PM,71.447,43.196,2377.0,,,
27,10/19/22 01:26:43 PM,71.490,43.199,2345.4,,,
28,10/19/22 01:31:43 PM,71.577,43.204,2282.3,,,
29,10/19/22 01:36:43 PM,71.620,43.239,2195.6,,,
30,10/19/22 01:41:43 PM,71.661,43.242,2093.1,,,
31,10/19/22 01:46:43 PM,71.704,43.277,1974.9,,,
32,10/19/22 01:51:43 PM,71.748,43.280,1880.3,,,
33,10/19/22 01:56:43 PM,71.791,43.315,1793.6,,,
34,10/19/22 02:01:43 PM,71.877,43.353,1730.5,,,
35,10/19/22 02:06:43 PM,71.920,43.355,1683.2,,,
36,10/19/22 02:11:43 PM,71.964,43.358,1635.9,,,
37,10/19/22 02:16:43 PM,72.007,43.393,1604.3,,,
38,10/19/22 02:21:43 PM,72.050,43.428,1580.7,,,
