"Plot Title: Sensor_09"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10392516, SEN S/N: 10392516)","RH, % (LGR S/N: 10392516, SEN S/N: 10392516)","Intensity, Lux (LGR S/N: 10392516, SEN S/N: 10392516)","Host Connected (LGR S/N: 10392516)","Stopped (LGR S/N: 10392516)","End Of File (LGR S/N: 10392516)"
1,10/14/22 11:10:00 PM,75.074,52.441,11.8,,,
2,10/14/22 11:15:00 PM,75.117,52.381,11.8,,,
3,10/14/22 11:20:00 PM,75.160,52.385,11.8,,,
4,10/14/22 11:25:00 PM,75.160,52.448,11.8,,,
5,10/14/22 11:30:00 PM,75.204,52.419,11.8,,,
6,10/14/22 11:35:00 PM,75.247,52.423,11.8,,,
7,10/14/22 11:40:00 PM,75.204,52.136,11.8,,,
8,10/14/22 11:45:00 PM,74.467,51.827,11.8,,,
9,10/14/22 11:50:00 PM,73.861,53.259,11.8,,,
10,10/14/22 11:55:00 PM,73.947,53.234,11.8,,,
11,10/15/22 12:00:00 AM,74.034,53.084,11.8,,,
12,10/15/22 12:05:00 AM,74.120,52.934,11.8,,,
13,10/15/22 12:10:00 AM,74.206,52.752,11.8,,,
14,10/15/22 12:15:00 AM,74.295,52.664,11.8,,,
15,10/15/22 12:20:00 AM,74.338,52.636,11.8,,,
16,10/15/22 12:25:00 AM,74.381,52.702,11.8,,,
17,10/15/22 12:30:00 AM,74.424,52.706,11.8,,,
18,10/15/22 12:35:00 AM,74.467,52.741,11.8,,,
19,10/15/22 12:40:00 AM,74.511,52.744,11.8,,,
20,10/15/22 12:45:00 AM,74.554,52.779,11.8,,,
21,10/15/22 12:50:00 AM,74.554,52.779,11.8,,,
22,10/15/22 12:55:00 AM,74.597,52.782,11.8,,,
23,10/15/22 01:00:00 AM,74.640,52.785,11.8,,,
24,10/15/22 01:05:00 AM,74.640,52.785,11.8,,,
25,10/15/22 01:10:00 AM,74.683,52.757,11.8,,,
26,10/15/22 01:15:00 AM,74.683,52.757,11.8,,,
27,10/15/22 01:20:00 AM,74.727,52.761,11.8,,,
28,10/15/22 01:25:00 AM,74.727,52.729,11.8,,,
29,10/15/22 01:30:00 AM,74.727,52.729,11.8,,,
30,10/15/22 01:35:00 AM,74.770,52.701,11.8,,,
31,10/15/22 01:40:00 AM,74.770,52.670,11.8,,,
32,10/15/22 01:45:00 AM,74.770,52.670,11.8,,,
33,10/15/22 01:50:00 AM,74.770,52.607,11.8,,,
34,10/15/22 01:55:00 AM,74.120,52.148,11.8,,,
35,10/15/22 02:00:00 AM,73.299,52.964,11.8,,,
36,10/15/22 02:05:00 AM,73.126,53.577,11.8,,,
37,10/15/22 02:10:00 AM,73.213,53.459,11.8,,,
38,10/15/22 02:15:00 AM,73.342,53.219,11.8,,,
39,10/15/22 02:20:00 AM,73.386,52.971,11.8,,,
40,10/15/22 02:25:00 AM,73.472,52.946,11.8,,,
41,10/15/22 02:30:00 AM,73.472,52.884,11.8,,,
42,10/15/22 02:35:00 AM,73.515,52.918,11.8,,,
43,10/15/22 02:40:00 AM,73.515,52.918,11.8,,,
44,10/15/22 02:45:00 AM,73.558,52.953,11.8,,,
45,10/15/22 02:50:00 AM,73.602,53.019,11.8,,,
46,10/15/22 02:55:00 AM,73.602,53.019,11.8,,,
47,10/15/22 03:00:00 AM,73.602,53.051,11.8,,,
48,10/15/22 03:05:00 AM,73.645,53.054,11.8,,,
49,10/15/22 03:10:00 AM,73.645,53.054,11.8,,,
50,10/15/22 03:15:00 AM,73.645,53.054,11.8,,,
51,10/15/22 03:20:00 AM,73.688,53.089,11.8,,,
52,10/15/22 03:25:00 AM,73.688,53.089,11.8,,,
53,10/15/22 03:30:00 AM,73.688,53.151,11.8,,,
54,10/15/22 03:35:00 AM,73.688,53.120,11.8,,,
55,10/15/22 03:40:00 AM,73.731,53.123,11.8,,,
56,10/15/22 03:45:00 AM,73.731,53.155,11.8,,,
57,10/15/22 03:50:00 AM,73.731,53.123,11.8,,,
58,10/15/22 03:55:00 AM,73.731,53.155,11.8,,,
59,10/15/22 04:00:00 AM,73.731,53.186,11.8,,,
60,10/15/22 04:05:00 AM,73.731,53.186,11.8,,,
61,10/15/22 04:10:00 AM,73.688,53.183,11.8,,,
62,10/15/22 04:15:00 AM,73.731,53.186,11.8,,,
63,10/15/22 04:20:00 AM,73.731,53.155,11.8,,,
64,10/15/22 04:25:00 AM,73.688,53.183,11.8,,,
65,10/15/22 04:30:00 AM,73.688,53.183,11.8,,,
66,10/15/22 04:35:00 AM,73.688,53.183,11.8,,,
67,10/15/22 04:40:00 AM,73.688,53.183,11.8,,,
68,10/15/22 04:45:00 AM,73.688,53.214,11.8,,,
69,10/15/22 04:50:00 AM,73.645,53.211,11.8,,,
70,10/15/22 04:55:00 AM,73.645,53.211,11.8,,,
71,10/15/22 05:00:00 AM,73.645,53.211,11.8,,,
72,10/15/22 05:05:00 AM,73.645,53.211,11.8,,,
73,10/15/22 05:10:00 AM,73.645,53.273,11.8,,,
74,10/15/22 05:15:00 AM,73.645,53.211,11.8,,,
75,10/15/22 05:20:00 AM,73.645,53.273,11.8,,,
76,10/15/22 05:25:00 AM,73.602,53.270,11.8,,,
77,10/15/22 05:30:00 AM,73.602,53.270,11.8,,,
78,10/15/22 05:35:00 AM,73.602,53.301,11.8,,,
79,10/15/22 05:40:00 AM,73.602,53.270,11.8,,,
80,10/15/22 05:45:00 AM,73.602,53.301,11.8,,,
81,10/15/22 05:50:00 AM,73.558,53.267,11.8,,,
82,10/15/22 05:55:00 AM,73.558,53.267,11.8,,,
83,10/15/22 06:00:00 AM,73.558,53.298,11.8,,,
84,10/15/22 06:05:00 AM,73.558,53.361,11.8,,,
85,10/15/22 06:10:00 AM,73.558,53.329,11.8,,,
86,10/15/22 06:15:00 AM,73.558,53.329,11.8,,,
87,10/15/22 06:20:00 AM,73.558,53.329,11.8,,,
88,10/15/22 06:25:00 AM,73.558,53.329,11.8,,,
89,10/15/22 06:30:00 AM,73.515,53.357,11.8,,,
90,10/15/22 06:35:00 AM,73.515,53.389,11.8,,,
91,10/15/22 06:40:00 AM,73.515,53.389,11.8,,,
92,10/15/22 06:45:00 AM,73.515,53.420,11.8,,,
93,10/15/22 06:50:00 AM,73.515,53.420,11.8,,,
94,10/15/22 06:55:00 AM,73.472,53.417,11.8,,,
95,10/15/22 07:00:00 AM,73.472,53.448,11.8,,,
96,10/15/22 07:05:00 AM,73.472,53.448,11.8,,,
97,10/15/22 07:10:00 AM,73.472,53.479,11.8,,,
98,10/15/22 07:15:00 AM,73.472,53.479,11.8,,,
99,10/15/22 07:20:00 AM,73.429,53.476,11.8,,,
100,10/15/22 07:25:00 AM,73.429,53.507,11.8,,,
101,10/15/22 07:30:00 AM,73.429,53.507,11.8,,,
102,10/15/22 07:35:00 AM,73.386,53.504,11.8,,,
103,10/15/22 07:40:00 AM,73.386,53.504,19.7,,,
104,10/15/22 07:45:00 AM,73.386,53.535,27.6,,,
105,10/15/22 07:50:00 AM,73.386,53.535,43.4,,,
106,10/15/22 07:55:00 AM,73.386,53.504,74.9,,,
107,10/15/22 08:00:00 AM,73.386,53.504,106.4,,,
108,10/15/22 08:05:00 AM,73.386,53.504,138.0,,,
109,10/15/22 08:10:00 AM,73.386,53.504,185.3,,,
110,10/15/22 08:15:00 AM,73.429,53.507,216.8,,,
111,10/15/22 08:20:00 AM,73.429,53.507,256.2,,,
112,10/15/22 08:25:00 AM,73.472,53.511,295.6,,,
113,10/15/22 08:30:00 AM,73.472,53.479,327.2,,,
114,10/15/22 08:35:00 AM,73.515,53.483,366.6,,,
115,10/15/22 08:40:00 AM,73.558,53.455,406.0,,,
116,10/15/22 08:45:00 AM,73.602,53.458,445.4,,,
117,10/15/22 08:50:00 AM,73.645,53.399,477.0,,,
118,10/15/22 08:55:00 AM,73.688,53.371,508.5,,,
119,10/15/22 09:00:00 AM,73.731,53.374,540.0,,,
120,10/15/22 09:05:00 AM,73.818,53.350,571.6,,,
121,10/15/22 09:10:00 AM,73.861,53.322,603.1,,,
122,10/15/22 09:15:00 AM,73.947,53.297,618.9,,,
123,10/15/22 09:20:00 AM,73.990,53.300,650.4,,,
124,10/15/22 09:25:00 AM,74.077,53.307,666.2,,,
125,10/15/22 09:30:00 AM,74.163,53.345,689.8,,,
126,10/15/22 09:35:00 AM,74.250,53.352,705.6,,,
127,10/15/22 09:40:00 AM,74.338,53.327,737.1,,,
128,10/15/22 09:45:00 AM,74.424,53.271,752.9,,,
129,10/15/22 09:50:00 AM,74.511,53.247,776.6,,,
130,10/15/22 09:55:00 AM,74.640,53.225,800.2,,,
131,10/15/22 10:00:00 AM,74.338,53.045,808.1,,,
132,10/15/22 10:05:00 AM,73.602,53.583,863.3,,,
133,10/15/22 10:10:00 AM,73.472,54.449,894.8,,,
134,10/15/22 10:15:00 AM,73.688,54.122,957.9,,,
135,10/15/22 10:20:00 AM,73.947,53.892,997.3,,,
136,10/15/22 10:25:00 AM,74.163,53.753,1036.7,,,
137,10/15/22 10:30:00 AM,74.338,53.704,957.9,,,
138,10/15/22 10:35:00 AM,74.467,53.714,579.5,,,
139,10/15/22 10:40:00 AM,74.597,53.724,492.7,,,
140,10/15/22 10:45:00 AM,74.683,53.762,540.0,,,
141,10/15/22 10:50:00 AM,74.856,53.682,1131.3,,,
142,10/15/22 10:55:00 AM,74.986,53.692,508.5,,,
143,10/15/22 11:00:00 AM,75.160,53.706,1162.9,,,
144,10/15/22 11:05:00 AM,75.247,53.712,1076.1,,,
145,10/15/22 11:10:00 AM,74.899,53.246,555.8,,,
146,10/15/22 11:15:00 AM,74.163,53.439,516.4,,,
147,10/15/22 11:20:00 AM,73.990,54.427,1202.3,,,
148,10/15/22 11:25:00 AM,74.250,54.135,1202.3,,,
149,10/15/22 11:30:00 AM,74.597,54.038,1210.2,,,
150,10/15/22 11:35:00 AM,74.899,53.967,1202.3,,,
151,10/15/22 11:40:00 AM,75.160,53.862,1225.9,,,
152,10/15/22 11:45:00 AM,75.420,53.789,1265.3,,,
153,10/15/22 11:50:00 AM,75.681,53.746,1273.2,,,
154,10/15/22 11:55:00 AM,75.898,53.701,540.0,,,
155,10/15/22 12:00:00 PM,75.985,53.739,989.4,,,
156,10/15/22 12:05:00 PM,76.158,53.784,1186.5,,,
157,10/15/22 12:10:00 PM,76.289,53.763,563.7,,,
158,10/15/22 12:15:00 PM,76.507,53.748,1273.2,,,
159,10/15/22 12:20:00 PM,76.725,53.702,1249.6,,,
160,10/15/22 12:25:00 PM,76.986,53.660,1265.3,,,
161,10/15/22 12:30:00 PM,77.203,53.614,1273.2,,,
162,10/15/22 12:35:00 PM,77.421,53.568,1273.2,,,
163,10/15/22 12:40:00 PM,77.639,53.522,1273.2,,,
164,10/15/22 12:45:00 PM,77.859,53.476,1289.0,,,
165,10/15/22 12:50:00 PM,78.033,53.458,469.1,,,
166,10/15/22 12:55:00 PM,78.121,53.370,1312.6,,,
167,10/15/22 01:00:00 PM,78.339,53.450,603.1,,,
168,10/15/22 01:05:00 PM,78.514,53.369,1312.6,,,
169,10/15/22 01:10:00 PM,78.733,53.260,1296.9,,,
170,10/15/22 01:15:00 PM,78.953,53.245,1320.5,,,
171,10/15/22 01:20:00 PM,79.128,53.227,1257.5,,,
172,10/15/22 01:25:00 PM,79.261,53.142,1320.5,,,
173,10/15/22 01:30:00 PM,79.435,53.092,1281.1,,,
174,10/15/22 01:35:00 PM,79.567,53.071,540.0,,,
175,10/15/22 01:40:00 PM,79.743,53.053,1312.6,,,
176,10/15/22 01:45:00 PM,79.920,53.003,1320.5,,,
177,10/15/22 01:50:00 PM,80.139,52.925,1304.8,,,
178,10/15/22 01:55:00 PM,80.316,52.906,1328.4,,,
179,10/15/22 02:00:00 PM,80.492,52.825,1289.0,,,
180,10/15/22 02:05:00 PM,80.625,52.771,1296.9,,,
181,10/15/22 02:10:00 PM,80.757,52.686,1273.2,,,
182,10/15/22 02:15:00 PM,80.757,52.845,390.2,,,
183,10/15/22 02:20:00 PM,80.845,52.693,1296.9,,,
184,10/15/22 02:25:00 PM,81.023,52.706,421.8,,,
185,10/15/22 02:30:00 PM,81.111,52.681,1281.1,,,
186,10/15/22 02:35:00 PM,81.288,52.631,1289.0,,,
187,10/15/22 02:40:00 PM,81.466,52.613,1265.3,,,
188,10/15/22 02:45:00 PM,81.642,52.499,1265.3,,,
189,10/15/22 02:50:00 PM,81.819,52.449,437.5,,,
190,10/15/22 02:55:00 PM,81.819,52.481,1249.6,,,
191,10/15/22 03:00:00 PM,81.997,52.430,1210.2,,,
192,10/15/22 03:05:00 PM,82.130,52.377,1202.3,,,
193,10/15/22 03:10:00 PM,82.308,52.295,1186.5,,,
194,10/15/22 03:15:00 PM,82.353,52.330,1194.4,,,
195,10/15/22 03:20:00 PM,82.530,52.216,1210.2,,,
196,10/15/22 03:25:00 PM,82.575,52.155,1210.2,,,
197,10/15/22 03:30:00 PM,81.909,51.466,1186.5,,,
198,10/15/22 03:35:00 PM,81.154,51.378,1139.2,,,
199,10/15/22 03:40:00 PM,80.890,52.346,1036.7,,,
200,10/15/22 03:45:00 PM,81.111,52.204,1099.8,,,
201,10/15/22 03:50:00 PM,81.376,52.033,1107.7,,,
202,10/15/22 03:55:00 PM,81.554,51.982,445.4,,,
203,10/15/22 04:00:00 PM,81.775,51.872,1107.7,,,
204,10/15/22 04:05:00 PM,81.952,51.821,1091.9,,,
205,10/15/22 04:10:00 PM,82.175,51.774,1036.7,,,
206,10/15/22 04:15:00 PM,82.175,51.646,1044.6,,,
207,10/15/22 04:20:00 PM,81.509,51.373,1028.8,,,
208,10/15/22 04:25:00 PM,80.802,51.224,1013.1,,,
209,10/15/22 04:30:00 PM,80.668,52.234,934.2,,,
210,10/15/22 04:35:00 PM,80.890,52.124,934.2,,,
211,10/15/22 04:40:00 PM,81.154,51.984,894.8,,,
212,10/15/22 04:45:00 PM,81.421,51.909,863.3,,,
213,10/15/22 04:50:00 PM,81.642,51.830,823.9,,,
214,10/15/22 04:55:00 PM,81.730,51.741,800.2,,,
215,10/15/22 05:00:00 PM,81.154,51.378,287.8,,,
216,10/15/22 05:05:00 PM,80.449,51.326,760.8,,,
217,10/15/22 05:10:00 PM,80.227,52.392,674.1,,,
218,10/15/22 05:15:00 PM,80.492,52.253,650.4,,,
219,10/15/22 05:20:00 PM,80.713,52.110,500.6,,,
220,10/15/22 05:25:00 PM,80.935,52.000,563.7,,,
221,10/15/22 05:30:00 PM,81.111,51.981,469.1,,,
222,10/15/22 05:35:00 PM,81.288,51.962,413.9,,,
223,10/15/22 05:40:00 PM,81.421,51.941,461.2,,,
224,10/15/22 05:45:00 PM,80.978,51.525,327.2,,,
225,10/15/22 05:50:00 PM,80.272,51.312,303.5,,,
226,10/15/22 05:55:00 PM,79.524,51.065,216.8,,,
227,10/15/22 06:00:00 PM,78.865,50.921,232.6,,,
228,10/15/22 06:05:00 PM,78.251,50.653,177.4,,,
229,10/15/22 06:10:00 PM,77.596,50.636,98.5,,,
230,10/15/22 06:15:00 PM,76.986,50.495,82.8,,,
231,10/15/22 06:20:00 PM,76.375,51.307,74.9,,,
232,10/15/22 06:25:00 PM,76.375,51.846,59.1,,,
233,10/15/22 06:30:00 PM,76.681,51.710,51.2,,,
234,10/15/22 06:35:00 PM,76.942,51.572,59.1,,,
235,10/15/22 06:40:00 PM,76.899,51.378,35.5,,,
236,10/15/22 06:45:00 PM,76.289,51.142,11.8,,,
237,10/15/22 06:50:00 PM,75.637,51.537,11.8,,,
238,10/15/22 06:55:00 PM,75.594,52.512,11.8,,,
239,10/15/22 07:00:00 PM,75.853,52.406,11.8,,,
240,10/15/22 07:05:00 PM,76.071,52.265,11.8,,,
241,10/15/22 07:10:00 PM,76.289,52.187,11.8,,,
242,10/15/22 07:15:00 PM,76.419,51.912,11.8,,,
243,10/15/22 07:20:00 PM,75.942,51.655,11.8,,,
244,10/15/22 07:25:00 PM,75.247,52.076,11.8,,,
245,10/15/22 07:30:00 PM,75.204,53.081,11.8,,,
246,10/15/22 07:35:00 PM,75.420,52.972,11.8,,,
247,10/15/22 07:40:00 PM,75.637,52.799,11.8,,,
248,10/15/22 07:45:00 PM,75.810,52.687,11.8,,,
249,10/15/22 07:50:00 PM,75.985,52.385,11.8,,,
250,10/15/22 07:55:00 PM,75.551,52.036,11.8,,,
251,10/15/22 08:00:00 PM,74.856,52.613,11.8,,,
252,10/15/22 08:05:00 PM,74.813,53.396,11.8,,,
253,10/15/22 08:10:00 PM,74.986,53.315,11.8,,,
254,10/15/22 08:15:00 PM,75.204,53.144,11.8,,,
255,10/15/22 08:20:00 PM,75.333,52.965,11.8,,,
256,10/15/22 08:25:00 PM,75.508,52.947,11.8,,,
257,10/15/22 08:30:00 PM,75.637,52.862,11.8,,,
258,10/15/22 08:35:00 PM,75.767,52.904,11.8,,,
259,10/15/22 08:40:00 PM,75.681,52.456,11.8,,,
260,10/15/22 08:45:00 PM,74.943,52.179,11.8,,,
261,10/15/22 08:50:00 PM,74.511,53.592,11.8,,,
262,10/15/22 08:55:00 PM,74.640,53.633,11.8,,,
263,10/15/22 09:00:00 PM,74.813,53.459,11.8,,,
264,10/15/22 09:05:00 PM,74.986,53.378,11.8,,,
265,10/15/22 09:10:00 PM,75.074,53.228,11.8,,,
266,10/15/22 09:15:00 PM,75.204,53.238,11.8,,,
267,10/15/22 09:20:00 PM,75.333,53.185,11.8,,,
268,10/15/22 09:25:00 PM,75.247,52.801,11.8,,,
269,10/15/22 09:30:00 PM,74.554,52.401,11.8,,,
270,10/15/22 09:35:00 PM,73.904,53.607,11.8,,,
271,10/15/22 09:40:00 PM,73.947,53.798,11.8,,,
272,10/15/22 09:45:00 PM,74.120,53.687,11.8,,,
273,10/15/22 09:50:00 PM,74.295,53.544,11.8,,,
274,10/15/22 09:55:00 PM,74.424,53.491,11.8,,,
275,10/15/22 10:00:00 PM,74.554,53.344,11.8,,,
276,10/15/22 10:05:00 PM,74.640,53.320,11.8,,,
277,10/15/22 10:10:00 PM,74.727,53.358,11.8,,,
278,10/15/22 10:15:00 PM,74.856,53.368,11.8,,,
279,10/15/22 10:20:00 PM,74.943,53.375,11.8,,,
280,10/15/22 10:25:00 PM,75.029,53.444,11.8,,,
281,10/15/22 10:30:00 PM,75.117,53.420,11.8,,,
282,10/15/22 10:35:00 PM,75.204,53.395,11.8,,,
283,10/15/22 10:40:00 PM,75.247,53.241,11.8,,,
284,10/15/22 10:45:00 PM,74.770,52.795,11.8,,,
285,10/15/22 10:50:00 PM,74.034,53.555,11.8,,,
286,10/15/22 10:55:00 PM,73.947,54.111,11.8,,,
287,10/15/22 11:00:00 PM,74.077,53.996,11.8,,,
288,10/15/22 11:05:00 PM,74.250,53.885,11.8,,,
289,10/15/22 11:10:00 PM,74.381,53.770,11.8,,,
290,10/15/22 11:15:00 PM,74.467,53.714,11.8,,,
291,10/15/22 11:20:00 PM,74.554,53.689,11.8,,,
292,10/15/22 11:25:00 PM,74.640,53.696,11.8,,,
293,10/15/22 11:30:00 PM,74.727,53.672,11.8,,,
294,10/15/22 11:35:00 PM,74.770,53.675,11.8,,,
295,10/15/22 11:40:00 PM,74.856,53.713,11.8,,,
296,10/15/22 11:45:00 PM,74.899,53.717,11.8,,,
297,10/15/22 11:50:00 PM,74.986,53.692,11.8,,,
298,10/15/22 11:55:00 PM,75.029,53.727,11.8,,,
299,10/16/22 12:00:00 AM,75.074,53.667,11.8,,,
300,10/16/22 12:05:00 AM,75.160,53.674,11.8,,,
301,10/16/22 12:10:00 AM,75.204,53.678,11.8,,,
302,10/16/22 12:15:00 AM,75.247,53.650,11.8,,,
303,10/16/22 12:20:00 AM,75.074,53.259,11.8,,,
304,10/16/22 12:25:00 AM,74.338,52.951,11.8,,,
305,10/16/22 12:30:00 AM,73.904,54.389,11.8,,,
306,10/16/22 12:35:00 AM,73.990,54.334,11.8,,,
